item	filename	source_url	bytes	sha256
Rare Roadworn Satchel	Rare_Roadworn_Satchel.png	https://latitude-standard-pull-zone-1.b-cdn.net/generated_content/0/images/item_images/e6d41654-f2a4-4c0a-a630-8b88584359ec.png	1631543	eb297c7068623516cb4b5b828ea18cc96106aa559f5cb7ac968092eb639751f8
Rare Samurai's Lamellar	Rare_Samurais_Lamellar.png	https://latitude-standard-pull-zone-1.b-cdn.net/generated_content/0/images/item_images/de11be1e-006b-40ef-8d37-f7efb4f697a7.png	1573714	7b27b3ca8e85a16395ca35c090e3e1813153ae2fd0bf5b6491024268b2a5563a
Rare Silent Tabi Boots	Rare_Silent_Tabi_Boots.png	https://latitude-standard-pull-zone-1.b-cdn.net/generated_content/0/images/item_images/d852c8c3-02c5-4642-83f5-97f2e19a1d49.png	1314706	70c24cd0dc6b1e890f99c98d96cfba2ad1bd80a9e85a28f55788285f6c231742
Rare Trailblazer's Recurve	Rare_Trailblazers_Recurve.png	https://latitude-standard-pull-zone-1.b-cdn.net/generated_content/0/images/item_images/cbd90a69-7ec8-4211-bf8a-8517899102c2.png	1226661	306ee396812bdd7d7d4ab18ab932afd1fcb3e88ba12745f19b18542fd377fc96
Uncommon Cutpurse's Blade	Uncommon_Cutpurses_Blade.png	https://latitude-standard-pull-zone-1.b-cdn.net/generated_content/0/images/item_images/eed23ee7-cf2b-4366-b92d-0a22bc593127.png	1286735	9cf851939089ea8e242be2590f6799f6e25836072ecddd8a01aaff8929053e45
Uncommon Herbalist's Satchel	Uncommon_Herbalists_Satchel.png	https://latitude-standard-pull-zone-1.b-cdn.net/generated_content/0/images/item_images/06af5e27-4cce-4a03-bd1a-571108e7d954.png	1572388	68b583b4b0503c5816165f33e48feb714207d67be4e17d461a30e431e97b50a7
Uncommon Knight's Greathelm	Uncommon_Knights_Greathelm.png	https://latitude-standard-pull-zone-1.b-cdn.net/generated_content/0/images/item_images/2b2999b6-b30f-4f90-8149-a4ddd83876cb.png	1378806	55eeb69526b0edb6c01f666e8beba11aa665b7f23268137968a413ee025a7d03
Uncommon Knight's Round Shield	Uncommon_Knights_Round_Shield.png	https://latitude-standard-pull-zone-1.b-cdn.net/generated_content/0/images/item_images/49277b2f-3c7a-4cea-bdae-b378beedaffc.png	1437598	66cc8e91952a8069bf93dfdacbd7192bc808fa4844dcec56b6fc78eb0d8fb28e
Uncommon Pilgrim's Rosary	Uncommon_Pilgrims_Rosary.png	https://latitude-standard-pull-zone-1.b-cdn.net/generated_content/0/images/item_images/0b44e6f2-02a9-4e5a-83a5-74e52a1ee7d1.png	1493697	27ab17e63eda5322f9fed6140cfd940d4123ff2ecdf617ce4a1fc0a555ebb33d
Uncommon Poultice-Stained Gloves	Uncommon_Poultice_Stained_Gloves.png	https://latitude-standard-pull-zone-1.b-cdn.net/generated_content/0/images/item_images/7e1e96cc-be9e-4cb8-b6c7-1057e2974a26.png	1732636	b328bb182ccd8415fc0207a2bbb12d9605ebc1cd4ca429445585e1f5bd32d714
Uncommon Ronin's Wakizashi	Uncommon_Ronins_Wakizashi.png	https://latitude-standard-pull-zone-1.b-cdn.net/generated_content/0/images/item_images/e0dc5c7a-f445-4c9e-9cd9-19e96f389dbb.png	1278034	ff207405512ab67868f54ddadd4349bc086e2625bb1a866464cba43e67e05351
Uncommon Shadowfang Kunai	Uncommon_Shadowfang_Kunai.png	https://latitude-standard-pull-zone-1.b-cdn.net/generated_content/0/images/item_images/d3a001a9-2972-442c-b606-fe283154c777.png	1253153	1be1c2b7cae291e4581c0143f97b54162ca7e98686ee5a2bc30430cb2a663c0c
Uncommon Wanderer's Cloak	Uncommon_Wanderers_Cloak.png	https://latitude-standard-pull-zone-1.b-cdn.net/generated_content/0/images/item_images/43f0aaa5-e5b8-4a1d-885d-a9ef63240f34.png	1146701	2e546d9f7d8758820ff3dda7918e6af3591ee44d1f745ccefab919bce34d3312
